,0
122,https://www.espn.com/mens-college-basketball/team/_/id/259/virginia-tech-hokies
123,https://www.espn.com/mens-college-basketball/team/_/id/183/syracuse-orange
124,https://www.espn.com/mens-college-basketball/team/_/id/147/montana-state-bobcats
125,https://www.espn.com/mens-college-basketball/team/_/id/2870/purdue-fort-wayne-mastodons
126,https://www.espn.com/mens-college-basketball/team/_/id/2572/southern-miss-golden-eagles
127,https://www.espn.com/mens-college-basketball/team/_/id/2737/winthrop-eagles
128,https://www.espn.com/mens-college-basketball/team/_/id/2464/northern-arizona-lumberjacks
129,https://www.espn.com/mens-college-basketball/team/_/id/166/new-mexico-state-aggies
130,https://www.espn.com/mens-college-basketball/team/_/id/2635/tennessee-tech-golden-eagles
131,https://www.espn.com/mens-college-basketball/team/_/id/193/miami-oh-redhawks
132,https://www.espn.com/mens-college-basketball/team/_/id/130/michigan-wolverines
133,https://www.espn.com/mens-college-basketball/team/_/id/2458/northern-colorado-bears
134,https://www.espn.com/mens-college-basketball/team/_/id/2110/central-arkansas-bears
135,https://www.espn.com/mens-college-basketball/team/_/id/2569/south-carolina-state-bulldogs
136,https://www.espn.com/mens-college-basketball/team/_/id/2473/oakland-golden-grizzlies
137,https://www.espn.com/mens-college-basketball/team/_/id/2641/texas-tech-red-raiders
138,https://www.espn.com/mens-college-basketball/team/_/id/324/coastal-carolina-chanticleers
139,https://www.espn.com/mens-college-basketball/team/_/id/2344/longwood-lancers
140,https://www.espn.com/mens-college-basketball/team/_/id/2653/troy-trojans
141,https://www.espn.com/mens-college-basketball/team/_/id/2443/new-orleans-privateers
142,https://www.espn.com/mens-college-basketball/team/_/id/2229/florida-international-panthers
143,https://www.espn.com/mens-college-basketball/team/_/id/349/army-black-knights
144,https://www.espn.com/mens-college-basketball/team/_/id/2710/western-illinois-leathernecks
145,https://www.espn.com/mens-college-basketball/team/_/id/2/auburn-tigers
146,https://www.espn.com/mens-college-basketball/team/_/id/2598/st-francis-pa-red-flash
147,https://www.espn.com/mens-college-basketball/team/_/id/70/idaho-vandals
148,https://www.espn.com/mens-college-basketball/team/_/id/2514/quinnipiac-bobcats
149,https://www.espn.com/mens-college-basketball/team/_/id/2449/north-dakota-state-bison
150,https://www.espn.com/mens-college-basketball/team/_/id/245/texas-am-aggies
151,https://www.espn.com/mens-college-basketball/team/_/id/2534/sam-houston-bearkats
