10/28/22,Hope,LW,S,0,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Hope,P,H,0,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Joe Berry,P,L,1,,,,,,,,,11/1/22,Concordia,Drive,
10/28/22,Hope,T,S,0,,,,,,,,,11/1/22,Tola Olorode,Perimeter/Strip,
10/28/22,Thomas Kurowski,RW,B,1,,,,,,,,,11/1/22,Alex Battist,Reversal/Pass,
10/28/22,Hope,P,L,0,,,,,,,,,11/1/22,Eamonn Kenah,Post Entry,
10/28/22,Thomas Kurowski,TK,P,1,,,,,,,,,11/1/22,Eamonn Kenah,Reversal/Pass,
10/28/22,Hope,LC,S,0,,,,,,,,,11/1/22,Joe Berry,Reversal/Pass,
10/28/22,Eamonn Kenah,P,L,1,,,,,,,,,11/1/22,Skyler Twyman,Reversal/Pass,
10/28/22,Hope,P,L,1,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Joe Berry,LC,S,1,,,,,,,,,11/1/22,Dashiel Walker,Perimeter/Strip,
10/28/22,Eamonn Kenah,RW,S,1,,,,,,,,,11/1/22,Concordia,Reversal/Pass,
10/28/22,Eamonn Kenah,RW,S,0,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Ezra Moos,P,L,0,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Hope,RW,S,0,,,,,,,,,11/1/22,Concordia,Perimeter/Strip,
10/28/22,Ezra Moos,P,H,0,,,,,,,,,,,,
10/28/22,Alec Bryan,LW,S,1,,,,,,,,,,,,
10/28/22,Hope,P,L,0,,,,,,,,,,,,
10/28/22,Hope,P,P,1,,,,,,,,,,,,
10/28/22,Arrish Bhandal,P,H,1,,,,,,,,,,,,
10/28/22,Hope,LW,S,1,,,,,,,,,,,,
10/28/22,Hope,P,L,0,,,,,,,,,,,,
10/28/22,Thomas Kurowski,P,L,1,,,,,,,,,,,,
10/28/22,Hope,P,H,0,,,,,,,,,,,,
10/28/22,Arrish Bhandal,RW,S,0,,,,,,,,,,,,
10/28/22,Hope,T,S,0,,,,,,,,,,,,
10/28/22,Arrish Bhandal,P,L,0,,,,,,,,,,,,
10/28/22,Hope,P,L,0,,,,,,,,,,,,
10/28/22,Arrish Bhandal,P,H,1,,,,,,,,,,,,
10/28/22,Joe Berry,LC,S,1,,,,,,,,,,,,
10/28/22,Hope,LB,P,0,,,,,,,,,,,,
10/28/22,Thomas Kurowski,T,B,0,,,,,,,,,,,,
10/28/22,Elliot Paschal,P,L,1,,,,,,,,,,,,
10/28/22,Joe Berry,P,L,1,,,,,,,,,,,,
10/28/22,Hope,LW,S,1,,,,,,,,,,,,
10/28/22,Thomas Kurowski,RC,S,1,,,,,,,,,,,,
10/28/22,Hope,TK,P,1,,,,,,,,,,,,
10/28/22,Hope,RW,S,1,,,,,,,,,,,,
10/28/22,Joe Berry,RC,S,1,,,,,,,,,,,,
10/28/22,Hope,P,H,1,,,,,,,,,,,,
10/28/22,Elliot Paschal,RC,S,0,,,,,,,,,,,,
10/28/22,Hope,RW,S,0,,,,,,,,,,,,
10/28/22,Hope,RW,S,0,,,,,,,,,,,,
10/28/22,Hope,P,L,0,,,,,,,,,,,,
10/28/22,Elliot Paschal,P,L,0,,,,,,,,,,,,
10/28/22,Arrish Bhandal,P,L,1,,,,,,,,,,,,
10/28/22,Ezra Moos,P,L,1,,,,,,,,,,,,
10/28/22,Hope,LE,P,0,,,,,,,,,,,,
10/28/22,Ben Chasin,T,M,0,,,,,,,,,,,,
10/28/22,Hope,T,M,1,,,,,,,,,,,,
10/28/22,Alex Battist,LB,H,0,,,,,,,,,,,,
10/28/22,Hope,T,S,0,,,,,,,,,,,,
10/28/22,Tola Olorode,LB,F,1,,,,,,,,,,,,
10/28/22,Dashiel Walker,RB,P,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,RW,P,0,,,,,,,,,,,,
10/28/22,Hope,RW,S,0,,,,,,,,,,,,
10/28/22,Alex Battist,P,P,1,,,,,,,,,,,,
10/28/22,Hope,RC,S,1,,,,,,,,,,,,
10/28/22,Ben Chasin,RC,S,1,,,,,,,,,,,,
10/28/22,Hope,RC,S,1,,,,,,,,,,,,
10/28/22,Hope,T,P,1,,,,,,,,,,,,
10/28/22,Alex Battist,LB,H,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,P,F,0,,,,,,,,,,,,
10/28/22,Hope,RE,P,0,,,,,,,,,,,,
10/28/22,Hope,P,L,1,,,,,,,,,,,,
10/28/22,Alec Bryan,LW,S,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,P,L,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,P,L,1,,,,,,,,,,,,
10/28/22,Hope,T,S,1,,,,,,,,,,,,
10/28/22,Hope,LW,S,0,,,,,,,,,,,,
10/28/22,Josh Preston,P,L,1,,,,,,,,,,,,
10/28/22,Hope,P,L,1,,,,,,,,,,,,
10/28/22,Kerem Ozturk,T,P,0,,,,,,,,,,,,
10/28/22,Skyler Twyman,RC,S,0,,,,,,,,,,,,
10/28/22,Hope,RW,S,0,,,,,,,,,,,,
10/28/22,Hope,TK,P,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,LW,S,0,,,,,,,,,,,,
10/28/22,Hope,LE,P,1,,,,,,,,,,,,
10/28/22,Alec Bryan,RC,S,0,,,,,,,,,,,,
10/28/22,Hope,RC,S,0,,,,,,,,,,,,
10/28/22,Dashiel Walker,LC,S,0,,,,,,,,,,,,
10/28/22,Hope,P,H,1,,,,,,,,,,,,
10/28/22,Tola Olorode,P,L,1,,,,,,,,,,,,
10/28/22,Hope,P,L,0,,,,,,,,,,,,
10/28/22,Hope,LB,P,0,,,,,,,,,,,,
10/28/22,Alex Battist,P,L,1,,,,,,,,,,,,
10/28/22,Hope,TK,P,0,,,,,,,,,,,,
10/28/22,Ben Chasin,LC,S,1,,,,,,,,,,,,
11/1/22,Concordia,P,L,1,,,,,,,,,,,,
11/1/22,Thomas Kurowski,RW,S,0,,,,,,,,,,,,
11/1/22,Concordia,LW,S,0,,,,,,,,,,,,
11/1/22,Elliot Paschal,RW,P,1,,,,,,,,,,,,
11/1/22,Concordia,P,L,1,,,,,,,,,,,,
11/1/22,Concordia,LW,S,0,,,,,,,,,,,,
11/1/22,Alec Bryan,P,L,1,,,,,,,,,,,,
11/1/22,Concordia,RW,P,1,,,,,,,,,,,,
11/1/22,Elliot Paschal,LC,S,0,,,,,,,,,,,,
11/1/22,Concordia,RW,S,0,,,,,,,,,,,,
11/1/22,Josh Preston,P,L,1,,,,,,,,,,,,
11/1/22,Alec Bryan,LB,P,0,,,,,,,,,,,,
11/1/22,Concordia,LB,F,0,,,,,,,,,,,,
11/1/22,Concordia,P,L,1,,,,,,,,,,,,
11/1/22,Concordia,LC,S,0,,,,,,,,,,,,
11/1/22,Concordia,P,F,1,,,,,,,,,,,,
11/1/22,Ezra Moos,RW,S,0,,,,,,,,,,,,
11/1/22,Joe Berry,P,L,0,,,,,,,,,,,,
11/1/22,Concordia,LW,S,0,,,,,,,,,,,,
11/1/22,Ezra Moos,RW,S,0,,,,,,,,,,,,
11/1/22,Concordia,P,F,0,,,,,,,,,,,,
11/1/22,Concordia,RC,S,1,,,,,,,,,,,,
11/1/22,Concordia,P,L,0,,,,,,,,,,,,
