,Time,Action,Team
177,03:49,TEAM offensive rebound,Emory
178,03:49,"GIBBS,SAVANNAH
                                 goes to the bench",Opponent
179,03:49,"CHINTALA,ANISHA
                                 goes to the bench",Opponent
180,03:49,"PRASAD,ANIKA
                                 enters the game",Opponent
181,03:49,"LAFOND,LIV
                                 enters the game",Opponent
182,03:41,"MUNSON,IZZY made 3-pt. jump shot",Emory
183,03:41,"Assist by LAUDICK,MORGAN",Emory
184,03:31,"LIGOTTI,PIPER missed layup",Opponent
185,03:31,"Block by LAUDICK,MORGAN",Emory
186,03:27,"KENNEDY,LILY defensive rebound",Emory
187,03:23,"LAUDICK,MORGAN missed 3-pt. jump shot",Emory
188,03:20,"OR,CATHERINE defensive rebound",Opponent
189,03:20,30SEC TIMEOUT by Carnegie Mellon,Opponent
190,03:20,"GROSS,PAIGE
                                 goes to the bench",Emory
191,03:20,"MUNSON,IZZY
                                 goes to the bench",Emory
192,03:20,"AUZA,MARIANE
                                 enters the game",Emory
193,03:20,"MARTINI,KATHERINE
                                 enters the game",Emory
194,02:54,"OR,CATHERINE missed layup",Opponent
195,02:54,"Block by AUZA,MARIANE",Emory
196,02:53,TEAM deadball rebound,Opponent
197,02:53,Turnover by TEAM,Opponent
198,02:53,"LIGOTTI,PIPER
                                 goes to the bench",Opponent
199,02:53,"PRASAD,ANIKA
                                 goes to the bench",Opponent
200,02:53,"LAFOND,LIV
                                 goes to the bench",Opponent
201,02:53,"GIBBS,SAVANNAH
                                 enters the game",Opponent
202,02:53,"CHINTALA,ANISHA
                                 enters the game",Opponent
203,02:53,"MATSKO,MEGAN
                                 enters the game",Opponent
204,02:38,"KENNEDY,LILY missed layup",Emory
205,02:38,"Block by BLACK,AVA",Opponent
206,02:32,"KENNEDY,LILY offensive rebound",Emory
207,02:30,"Turnover by MARTINI,KATHERINE",Emory
208,02:30,"Steal by OR,CATHERINE",Opponent
209,02:15,"GIBBS,SAVANNAH made layup",Opponent
210,02:15,"Assist by OR,CATHERINE",Opponent
211,02:06,"LAUDICK,MORGAN missed 3-pt. jump shot",Emory
212,02:04,TEAM defensive rebound,Opponent
213,02:04,"KENNEDY,LILY
                                 goes to the bench",Emory
214,02:04,"LAUDICK,MORGAN
                                 goes to the bench",Emory
215,02:04,"BROCK,CLAIRE
                                 goes to the bench",Emory
216,02:04,"ARONSKY,DANIELLA
                                 enters the game",Emory
217,02:04,"GERY,LILAH
                                 enters the game",Emory
218,02:04,"MARTIN,ERIN
                                 enters the game",Emory
219,01:40,"OR,CATHERINE made jump shot",Opponent
220,01:40,"Assist by CHINTALA,ANISHA",Opponent
221,01:17,"MARTINI,KATHERINE missed jump shot",Emory
222,01:13,"MARTIN,ERIN offensive rebound",Emory
223,01:11,"GERY,LILAH missed 3-pt. jump shot",Emory
224,01:07,"MATSKO,MEGAN defensive rebound",Opponent
225,01:00,"OR,CATHERINE made jump shot",Opponent
226,00:39,"MARTIN,ERIN made jump shot",Emory
