,Time,Action,Team
170,04:58,"KENNEDY,LILY missed layup",Emory
171,04:53,"CHARACKLIS,KAYLA defensive rebound",Opponent
172,04:47,"CHARACKLIS,KAYLA {JUMPER={score=2, text=made jump shot}, 3PTR={score=3, text=made 3-pt. jump shot}, 2PTR={score=2, text=made 2-pt. field goal}, LAYUP={score=2, text=made layup}, FT={score=1, text=made free throw}, DUNK={score=2, text=made dunk}, TIPIN={score=2, text=made tip-in}}",Opponent
173,04:32,"Foul by GILL,PREET",Opponent
174,04:32,"GROSS,PAIGE
                                 goes to the bench",Emory
175,04:32,"MARTIN,ERIN
                                 enters the game",Emory
176,04:32,"CHARACKLIS,KAYLA
                                 goes to the bench",Opponent
177,04:32,"MILLS,ISABELLA
                                 enters the game",Opponent
178,04:32,"KENNEDY,LILY missed free throw",Emory
179,04:32,TEAM deadball rebound,Emory
180,04:32,"KENNEDY,LILY missed free throw",Emory
181,04:32,"TERRY,MARGARET defensive rebound",Opponent
182,04:14,"PLACHTA,EMILY made 3-pt. jump shot",Opponent
183,04:14,"Assist by TERRY,MARGARET",Opponent
184,03:42,"BROCK,CLAIRE missed layup",Emory
185,03:42,"Block by MILLS,ISABELLA",Opponent
186,03:42,"TERRY,MARGARET defensive rebound",Opponent
187,03:42,"Foul by KENNEDY,LILY",Emory
188,03:39,"KENNEDY,LILY
                                 goes to the bench",Emory
189,03:39,"AUZA,MARIANE
                                 enters the game",Emory
190,03:39,"VANDERBECK,LUCY
                                 goes to the bench",Opponent
191,03:39,"MITCHELL,SARAH
                                 enters the game",Opponent
192,03:28,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
193,03:25,"AUZA,MARIANE defensive rebound",Emory
194,03:23,"LAUDICK,MORGAN missed jump shot",Emory
195,03:19,"MITCHELL,SARAH defensive rebound",Opponent
196,03:12,"TERRY,MARGARET missed 3-pt. jump shot",Opponent
197,03:10,TEAM defensive rebound,Emory
198,03:10,"LAUDICK,MORGAN
                                 goes to the bench",Emory
199,03:10,"GROSS,PAIGE
                                 enters the game",Emory
200,03:10,"GROSS,PAIGE
                                 goes to the bench",Emory
201,03:10,"LAUDICK,MORGAN
                                 enters the game",Emory
202,03:00,"MARTIN,ERIN made jump shot",Emory
203,03:00,"Assist by BROCK,CLAIRE",Emory
204,02:40,"MITCHELL,SARAH missed layup",Opponent
205,02:38,"ARONSKY,DANIELLA defensive rebound",Emory
206,02:11,"Turnover by AUZA,MARIANE",Emory
207,02:11,"GILL,PREET
                                 goes to the bench",Opponent
208,02:11,"CHARACKLIS,KAYLA
                                 enters the game",Opponent
209,02:00,"Foul by MARTIN,ERIN",Emory
210,01:47,"MILLS,ISABELLA missed layup",Opponent
211,01:45,"ARONSKY,DANIELLA defensive rebound",Emory
212,01:34,"Turnover by BROCK,CLAIRE",Emory
213,01:34,"Steal by MITCHELL,SARAH",Opponent
214,01:34,"Foul by BROCK,CLAIRE",Emory
215,01:03,"CHARACKLIS,KAYLA missed layup",Opponent
216,01:00,"AUZA,MARIANE defensive rebound",Emory
217,00:55,"Foul by CHARACKLIS,KAYLA",Opponent
218,00:45,"Turnover by ARONSKY,DANIELLA",Emory
219,00:45,"Steal by PLACHTA,EMILY",Opponent
220,00:45,"LAUDICK,MORGAN
                                 goes to the bench",Emory
221,00:45,"GROSS,PAIGE
                                 enters the game",Emory
222,00:44,"Turnover by MILLS,ISABELLA",Opponent
223,00:44,"Steal by GROSS,PAIGE",Emory
224,00:14,"BROCK,CLAIRE made layup",Emory
225,00:14,"Foul by CHARACKLIS,KAYLA",Opponent
226,00:14,"BROCK,CLAIRE made free throw",Emory
227,00:14,"BROCK,CLAIRE
                                 goes to the bench",Emory
228,00:14,"MUNSON,IZZY
                                 enters the game",Emory
229,00:14,"MITCHELL,SARAH
                                 goes to the bench",Opponent
230,00:14,"VANDERBECK,LUCY
                                 enters the game",Opponent
231,00:14,"GROSS,PAIGE
                                 goes to the bench",Emory
232,00:14,"LAUDICK,MORGAN
                                 enters the game",Emory
233,00:01,"PLACHTA,EMILY made layup",Opponent
234,00:01,"Foul by MARTIN,ERIN",Emory
235,00:01,"PLACHTA,EMILY made free throw",Opponent
236,10:00,"MUNSON,IZZY
                                 goes to the bench",Emory
237,10:00,"BROCK,CLAIRE
                                 enters the game",Emory
238,10:00,"VANDERBECK,LUCY
                                 goes to the bench",Opponent
239,10:00,"MITCHELL,SARAH
                                 enters the game",Opponent
240,09:50,"MILLS,ISABELLA made layup",Opponent
241,09:37,"LAUDICK,MORGAN missed layup",Emory
242,09:34,"PLACHTA,EMILY defensive rebound",Opponent
243,09:29,"TERRY,MARGARET missed 3-pt. jump shot",Opponent
244,09:27,"ARONSKY,DANIELLA defensive rebound",Emory
245,09:22,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
246,09:17,"PLACHTA,EMILY defensive rebound",Opponent
247,09:00,"MILLS,ISABELLA made layup",Opponent
248,09:00,"Assist by MITCHELL,SARAH",Opponent
249,08:40,"LAUDICK,MORGAN made layup",Emory
250,08:27,"CHARACKLIS,KAYLA missed layup",Opponent
251,08:24,"MARTIN,ERIN defensive rebound",Emory
252,08:01,"LAUDICK,MORGAN made layup",Emory
253,08:01,"Assist by MARTIN,ERIN",Emory
254,07:48,"MILLS,ISABELLA made 3-pt. jump shot",Opponent
255,07:48,"Assist by CHARACKLIS,KAYLA",Opponent
256,07:28,"LAUDICK,MORGAN missed 3-pt. jump shot",Emory
257,07:25,"TERRY,MARGARET defensive rebound",Opponent
258,07:10,"PLACHTA,EMILY missed layup",Opponent
259,07:10,"Block by MARTIN,ERIN",Emory
260,07:06,"PLACHTA,EMILY offensive rebound",Opponent
261,06:57,"MITCHELL,SARAH missed 3-pt. jump shot",Opponent
262,06:53,"LAUDICK,MORGAN defensive rebound",Emory
263,06:47,"BROCK,CLAIRE made 3-pt. jump shot",Emory
264,06:47,"Assist by ARONSKY,DANIELLA",Emory
265,06:37,"Foul by AUZA,MARIANE",Emory
266,06:37,"AUZA,MARIANE
                                 goes to the bench",Emory
267,06:37,"LAUDICK,MORGAN
                                 goes to the bench",Emory
268,06:37,"GROSS,PAIGE
                                 enters the game",Emory
269,06:37,"MUNSON,IZZY
                                 enters the game",Emory
270,06:37,"CHARACKLIS,KAYLA
                                 goes to the bench",Opponent
271,06:37,"GILL,PREET
                                 enters the game",Opponent
272,06:27,"Foul by BROCK,CLAIRE",Emory
273,06:27,"MITCHELL,SARAH missed free throw",Opponent
274,06:27,TEAM deadball rebound,Opponent
275,06:27,"MITCHELL,SARAH made free throw",Opponent
276,05:58,"Turnover by MARTIN,ERIN",Emory
277,05:58,"Steal by MILLS,ISABELLA",Opponent
278,05:52,"PLACHTA,EMILY missed 3-pt. jump shot",Opponent
279,05:49,"MARTIN,ERIN defensive rebound",Emory
280,05:42,"MUNSON,IZZY missed 3-pt. jump shot",Emory
281,05:39,"GROSS,PAIGE offensive rebound",Emory
282,05:35,"Foul by GILL,PREET",Opponent
283,05:35,"MITCHELL,SARAH
                                 goes to the bench",Opponent
284,05:35,"MOORE,NYAH
                                 enters the game",Opponent
285,05:32,"ARONSKY,DANIELLA missed layup",Emory
286,05:32,"Block by MILLS,ISABELLA",Opponent
287,05:30,TEAM offensive rebound,Emory
288,05:26,"Foul by MILLS,ISABELLA",Opponent
289,05:26,"PLACHTA,EMILY
                                 goes to the bench",Opponent
290,05:26,"VANDERBECK,LUCY
                                 enters the game",Opponent
291,05:26,"BROCK,CLAIRE made free throw",Emory
292,05:26,"BROCK,CLAIRE made free throw",Emory
293,05:05,"Turnover by VANDERBECK,LUCY",Opponent
294,05:05,"Steal by MUNSON,IZZY",Emory
295,04:56,"Foul by TERRY,MARGARET",Opponent
296,04:56,"MARTIN,ERIN
                                 goes to the bench",Emory
297,04:56,"LAUDICK,MORGAN
                                 enters the game",Emory
298,04:56,"BROCK,CLAIRE made free throw",Emory
299,04:56,"BROCK,CLAIRE missed free throw",Emory
300,04:54,TEAM defensive rebound,Opponent
301,04:37,"TERRY,MARGARET made 3-pt. jump shot",Opponent
302,04:37,"Assist by MILLS,ISABELLA",Opponent
303,04:25,"BROCK,CLAIRE made layup",Emory
304,04:18,"Foul by MUNSON,IZZY",Emory
305,04:18,"MILLS,ISABELLA
                                 goes to the bench",Opponent
306,04:18,"MILLER,EVIE
                                 enters the game",Opponent
307,04:10,"VANDERBECK,LUCY made 3-pt. jump shot",Opponent
308,04:10,"Assist by TERRY,MARGARET",Opponent
309,04:01,"Foul by TERRY,MARGARET",Opponent
310,04:00,"LAUDICK,MORGAN made layup",Emory
311,04:00,"Assist by ARONSKY,DANIELLA",Emory
312,03:49,"Turnover by TERRY,MARGARET",Opponent
313,03:49,"Steal by LAUDICK,MORGAN",Emory
314,03:44,"GROSS,PAIGE made layup",Emory
315,03:44,"Assist by BROCK,CLAIRE",Emory
316,03:38,"Foul by MUNSON,IZZY",Emory
317,03:38,"GROSS,PAIGE
                                 goes to the bench",Emory
318,03:38,"MARTIN,ERIN
                                 enters the game",Emory
319,03:38,"TERRY,MARGARET
                                 goes to the bench",Opponent
320,03:38,"MILLER,EVIE
                                 goes to the bench",Opponent
321,03:38,"MILLS,ISABELLA
                                 enters the game",Opponent
322,03:38,"MITCHELL,SARAH
                                 enters the game",Opponent
323,03:22,"MOORE,NYAH missed layup",Opponent
324,03:19,"GILL,PREET offensive rebound",Opponent
325,03:19,"GILL,PREET missed layup",Opponent
326,03:19,"MARTIN,ERIN defensive rebound",Emory
327,03:18,"Foul by MITCHELL,SARAH",Opponent
328,03:18,"MARTIN,ERIN made free throw",Emory
329,03:18,TEAM TIMEOUT by Case Western Reserve,Opponent
330,03:18,"MUNSON,IZZY
                                 goes to the bench",Emory
331,03:18,"BROCK,CLAIRE
                                 goes to the bench",Emory
332,03:18,"KENNEDY,LILY
                                 enters the game",Emory
333,03:18,"AUZA,MARIANE
                                 enters the game",Emory
334,03:18,"MARTIN,ERIN made free throw",Emory
335,03:11,"VANDERBECK,LUCY missed 3-pt. jump shot",Opponent
336,03:09,"MOORE,NYAH offensive rebound",Opponent
337,03:09,"Foul by AUZA,MARIANE",Emory
338,03:09,"MOORE,NYAH missed free throw",Opponent
339,03:09,TEAM deadball rebound,Opponent
340,03:09,"MOORE,NYAH missed free throw",Opponent
341,03:08,"AUZA,MARIANE defensive rebound",Emory
342,02:50,"AUZA,MARIANE missed layup",Emory
343,02:50,"Block by MITCHELL,SARAH",Opponent
344,02:45,"MOORE,NYAH defensive rebound",Opponent
345,02:42,"MILLS,ISABELLA missed 3-pt. jump shot",Opponent
346,02:36,"GILL,PREET offensive rebound",Opponent
347,02:35,"MILLS,ISABELLA missed 3-pt. jump shot",Opponent
