,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
71,"Brandon Beckman, Leonardo Edo, Ryan Martin, Skyler Twyman, Zach Munson",2,2.67,6,6,0,2,2,0,2,0.33,6,0.67,6,0.4,5,0.0,0,0,0.0,1,0,0,0,2,0
72,"Alec Bryan, Brandon Beckman, Bryce Hopkins, Ryan Martin, Skyler Twyman",2,2.65,2,6,-4,1,0,0,1,0.33,3,0.8,5,0.0,2,0.0,1,0,0.0,2,0,0,0,2,0
73,"Bryce Hopkins, Dashiel Walker, Ryan Martin, Thomas Kurowski, Zach Munson",1,2.63,7,4,3,1,0,1,1,0.62,8,0.5,4,1.0,1,0.0,1,4,1.0,0,2,1,0,0,4
74,"Arrish Bhandal, Bryce Hopkins, Ezra Moos, Skyler Twyman, Thomas Kurowski",2,2.58,7,8,-1,3,0,0,1,0.75,4,0.8,5,0.5,2,1.0,1,0,0.0,1,0,0,0,2,0
75,"Alec Bryan, Arrish Bhandal, Elliot Paschal, Ryan Martin, Thomas Kurowski",3,2.55,3,10,-7,0,1,0,0,0.4,5,1.0,4,0.0,1,1.0,2,1,1.0,2,0,0,0,0,2
76,"Bryce Hopkins, Elliot Paschal, Jackson Piotrowski, Kerem Öztürk, Skyler Twyman",1,2.52,7,2,5,2,1,0,1,0.6,5,0.5,2,0.5,2,0.0,0,0,0.0,1,2,1,1,2,0
77,"Bryce Hopkins, Kerem Öztürk, Leonardo Edo, Ryan Martin, Thomas Kurowski",1,2.5,9,4,5,1,0,0,3,0.8,5,0.4,5,1.0,1,0.5,2,0,0.0,0,1,1,1,1,0
78,"Alec Bryan, Ezra Moos, Jackson Piotrowski, Kerem Öztürk, Skyler Twyman",1,2.48,8,2,6,2,2,1,3,0.57,7,0.2,5,0.0,0,0.0,0,0,0.0,1,2,1,1,0,0
79,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Leonardo Edo, Skyler Twyman",1,2.38,0,7,-7,0,1,1,1,0.0,3,0.6,5,0.0,1,0.33,3,0,0.0,2,0,0,0,2,0
80,"Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Elliot Paschal, Skyler Twyman",1,2.38,3,5,-2,0,0,1,2,0.5,4,0.4,5,0.0,1,0.5,2,2,0.5,2,1,1,1,1,2
81,"Alec Bryan, Arrish Bhandal, Brandon Beckman, Ryan Martin, Thomas Kurowski",1,2.38,5,1,4,1,2,1,1,0.33,6,0.33,3,0.33,3,0.0,0,0,0.0,0,4,2,0,2,2
82,"Alec Bryan, Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Thomas Kurowski",1,2.37,2,2,0,0,0,1,2,0.67,3,0.33,3,0.0,0,0.0,1,2,1.0,1,1,0,0,0,2
83,"Alec Bryan, Arrish Bhandal, Brandon Beckman, Bryce Hopkins, Leonardo Edo",1,2.37,5,6,-1,1,0,0,1,0.6,5,0.75,4,0.33,3,0.0,0,2,1.0,0,0,0,0,0,2
84,"Arrish Bhandal, Dashiel Walker, Ezra Moos, Jackson Piotrowski, Leonardo Edo",1,2.33,7,5,2,1,0,0,1,1.0,3,0.75,4,1.0,1,1.0,1,0,0.0,1,0,0,1,1,1
85,"Arrish Bhandal, Elliot Paschal, Leonardo Edo, Ryan Martin, Thomas Kurowski",1,2.32,2,4,-2,0,0,1,4,0.33,3,0.29,7,0.0,1,0.0,3,0,0.0,2,0,0,0,0,0
86,"Bryce Hopkins, Dashiel Walker, Elliot Paschal, Ryan Martin, Zach Munson",1,2.3,0,6,-6,0,2,0,1,0.0,5,0.75,4,0.0,2,0.0,0,0,0.0,1,1,1,0,1,2
