,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
10,vs Wis.-Stout,W,4,67.5,0.76,0.72,18-46,3-10,12-19,15-60,4-25,13-24,37,31,37.0,65.9,54.400000000000006,38.5,17.0,WashU
11,vs UChicago,W,19,73.2,0.93,0.67,24-60,4-14,16-21,18-65,3-22,10-13,55,28,36.1,89.4,66.3,27.3,14.899999999999999,WashU
12,vs Brandeis,W,30,76.3,1.17,0.76,34-62,10-26,11-17,16-59,7-30,20-26,39,27,23.3,88.9,59.099999999999994,22.3,18.099999999999998,WashU
13,vs NYU,W,1,68.0,0.84,0.81,19-52,6-16,13-20,18-60,6-24,14-20,38,32,27.3,78.4,54.300000000000004,28.000000000000004,16.0,WashU
14,at CWRU,L,-10,68.4,0.94,1.1,27-62,6-23,4-12,24-55,16-32,10-16,40,33,27.500000000000004,87.9,54.800000000000004,21.9,17.8,WashU
15,Total,,85,68.2,0.97,0.89,371-852,73-251,175-269,326-888,93-353,160-235,572,454,33.7,76.2,55.8,26.2,19.4,WashU
0,at                           Bridgewater St.,L,-1,77.2,0.89,0.87,19-55,6-25,25-35,28-65,3-20,11-20,38,44,28.599999999999998,65.0,46.300000000000004,28.499999999999996,22.400000000000002,Brandeis
1,Rensselaer,W,7,85.1,0.94,0.79,26-64,4-17,24-40,29-85,10-35,5-10,54,46,20.9,78.9,54.0,18.8,19.5,Brandeis
2,Maine Maritime,L,-8,71.8,0.82,0.99,19-57,6-19,15-29,24-57,6-20,13-20,32,47,19.6,69.69999999999999,40.5,19.5,29.4,Brandeis
3,Emerson,W,43,72.9,1.29,0.84,37-68,6-19,14-18,18-55,3-20,12-18,49,20,45.2,92.10000000000001,71.0,19.2,23.200000000000003,Brandeis
4,Tufts,L,-14,73.5,0.95,1.15,23-63,6-20,18-24,32-65,9-22,11-18,33,44,25.0,62.2,42.9,17.7,26.1,Brandeis
5,at                           Roger Williams,L,-31,69.5,0.83,1.15,22-58,4-15,10-19,37-68,5-15,10-15,27,47,26.8,48.5,36.5,24.5,18.099999999999998,Brandeis
6,Babson,L,-29,77.4,0.72,0.97,15-55,5-25,21-31,29-72,10-24,17-17,38,49,18.2,69.8,43.7,25.8,13.700000000000001,Brandeis
7,MIT,L,-4,82.4,0.81,0.72,20-61,6-22,21-27,28-79,2-12,13-23,45,50,32.6,59.599999999999994,47.4,32.7,22.400000000000002,Brandeis
8,at                           Eastern Nazarene,W,10,71.8,1.03,0.88,30-69,6-25,8-11,24-71,13-35,3-9,51,38,37.5,73.5,57.3,22.3,19.2,Brandeis
9,Salem St.,W,33,74.7,1.03,0.63,31-70,8-26,7-11,18-62,1-9,7-18,42,46,32.5,60.4,47.699999999999996,21.4,40.0,Brandeis
10,at                           Clark,W,27,72.5,0.99,0.84,24-70,7-32,17-24,20-58,1-11,4-6,48,40,49.0,61.5,54.50000000000001,26.200000000000003,56.2,Brandeis
11,NYU,L,-32,77.8,0.59,0.74,17-48,1-8,11-16,31-77,6-29,10-17,41,39,23.5,71.7,51.2,43.7,8.5,Brandeis
12,at                           Washington U.,L,-30,77.2,0.76,1.17,16-59,7-30,20-26,34-62,10-26,11-17,27,39,11.1,76.7,40.9,18.099999999999998,22.3,Brandeis
13,at                           Chicago,L,-24,69.7,0.8,1.03,19-54,4-23,14-24,26-64,10-26,18-20,32,47,12.5,69.19999999999999,40.5,18.7,19.3,Brandeis
