,Opponent,W/L,Margin,POSS,PPP,OPP PPP,FGM/A,3FG/A,FTM/A,OPP FGM/A,OPP 3PM/A,OPP FTM/A,REB,OPP REB,ORB%,DRB%,REB%,TO%,OPP TO%,Team
7,LaGrange,W,18,75.3,1.14,0.91,33-66,11-26,9-17,23-66,5-22,17-23,47,31,37.1,79.10000000000001,60.3,23.9,14.7,Emory
8,Connecticut Col.,W,8,71.3,0.97,0.83,23-64,5-25,18-28,25-73,4-20,7-13,43,49,28.9,63.800000000000004,46.7,15.4,20.4,Emory
9,Berry,L,-5,74.5,0.99,1.03,23-76,6-26,22-31,23-57,9-24,24-31,46,50,34.5,68.4,47.9,10.7,27.500000000000004,Emory
10,Oglethorpe,W,12,82.9,1.13,1.0,34-85,7-30,19-28,27-73,10-24,18-26,60,45,42.6,72.5,57.099999999999994,14.499999999999998,18.3,Emory
11,"Rochester (N.Y.)

*",W,11,73.7,1.18,1.04,32-73,9-29,14-20,23-52,8-20,22-29,43,34,36.4,81.8,55.800000000000004,14.899999999999999,23.400000000000002,Emory
12,"Carnegie Mellon

*",L,-7,80.1,0.89,1.02,28-83,3-24,12-17,24-67,8-26,22-25,53,47,39.300000000000004,70.5,53.0,18.7,19.5,Emory
13,"Case Western Reserve

*",W,9,82.8,1.09,0.98,29-73,9-29,23-30,24-70,11-41,22-32,49,42,29.5,76.6,53.800000000000004,15.7,15.7,Emory
14,"New York U.

*",W,4,71.0,1.34,1.26,35-66,12-27,13-18,33-74,16-39,9-10,49,26,47.099999999999994,80.5,65.3,22.5,6.9,Emory
15,"Brandeis

*",W,2,72.5,1.01,1.0,29-69,9-31,6-8,27-70,11-34,6-6,43,40,24.4,78.60000000000001,51.800000000000004,17.9,14.099999999999998,Emory
16,"Chicago

*",W,4,74.0,1.07,1.03,29-69,3-27,18-23,27-72,13-30,8-11,41,40,30.8,69.0,50.6,13.5,16.5,Emory
17,"Washington (Mo.)

*",L,-3,69.8,0.99,1.03,28-63,3-24,10-13,24-56,12-24,12-15,36,31,32.4,75.8,53.7,21.5,25.8,Emory
18,UAA Total,,40,74.3,1.08,1.06,210-496,48-191,96-129,182-461,79-214,101-128,314,260,34.2,75.9,54.7,17.9,17.5,Emory
19,Total,,231,73.8,1.11,0.98,541-1247,144-470,250-359,444-1185,166-516,249-338,816,676,35.6,73.2,54.7,18.9,19.6,Emory
0,vs Blackburn,W,29,73.1,1.31,0.91,35-71,12-24,14-23,27-62,6-25,7-10,42,31,34.2,82.89999999999999,57.49999999999999,10.9,21.8,WashU
1,at Wabash,L,-3,64.2,1.04,1.03,27-59,2-7,11-18,25-54,6-22,14-17,38,29,42.9,71.89999999999999,56.699999999999996,23.3,26.6,WashU
2,at Webster,W,1,57.4,0.92,0.88,21-57,5-12,6-11,21-58,4-17,6-8,33,43,31.6,55.300000000000004,43.4,17.4,28.799999999999997,WashU
3,at Augustana (IL),W,1,59.1,1.19,1.18,28-49,7-14,7-8,25-50,8-12,11-13,25,24,18.2,77.8,51.0,22.0,18.9,WashU
4,vs Eureka,W,17,72.5,1.2,0.95,33-62,11-25,10-17,26-61,6-11,12-16,33,32,21.9,78.8,50.8,17.9,21.6,WashU
5,vs Pomona-Pitzer,L (OT),2,64.4,1.07,1.09,27-63,9-25,6-16,29-61,8-21,5-6,33,37,30.8,67.7,47.099999999999994,14.000000000000002,21.6,WashU
6,at Fontbonne,W,35,62.1,1.3,0.7,31-56,12-29,7-13,20-50,2-13,4-8,34,18,45.800000000000004,82.1,65.4,22.5,30.4,WashU
7,vs Principia,W,33,64.6,1.38,0.84,35-61,9-19,10-12,24-59,3-15,5-8,35,25,40.0,71.39999999999999,58.3,17.0,25.5,WashU
8,at Westminster (MO),W,37,65.2,1.32,0.73,31-58,10-20,14-18,20-56,4-13,5-8,34,29,26.900000000000002,73.0,54.0,13.8,30.0,WashU
9,at Ill. Wesleyan,W,2,63.1,1.0,1.02,23-59,8-20,9-13,22-54,6-16,11-19,40,36,29.7,74.4,52.6,19.0,16.7,WashU
10,vs UChicago,W,17,57.9,1.23,0.9,26-51,4-9,15-19,20-51,6-21,8-10,34,22,36.0,80.60000000000001,60.699999999999996,17.299999999999997,21.7,WashU
11,vs Brandeis,W,8,59.8,1.22,1.05,27-52,9-19,10-12,24-60,8-23,9-13,34,29,23.1,75.7,54.0,18.4,12.9,WashU
12,vs NYU,W,4,63.7,1.07,0.97,28-55,7-20,5-10,23-58,8-25,10-13,33,24,30.8,80.60000000000001,57.9,23.5,16.7,WashU
13,at CWRU,L,-15,70.5,1.06,1.29,31-71,7-21,6-10,37-63,7-23,9-13,39,33,34.9,82.8,54.2,18.4,12.9,WashU
14,at Carnegie Mellon,L,-13,70.2,0.83,1.03,23-62,7-20,5-7,22-56,10-23,17-20,36,41,17.5,78.4,46.800000000000004,21.4,21.8,WashU
15,at Rochester,W,16,61.3,1.03,0.78,25-59,6-15,7-11,18-51,2-12,9-18,42,33,33.300000000000004,76.9,56.00000000000001,19.6,21.5,WashU
16,at Emory,W,3,69.7,1.03,0.99,24-56,12-24,12-15,28-63,3-24,10-13,31,36,24.2,67.60000000000001,46.300000000000004,25.8,21.5,WashU
17,UAA Total,,20,64.4,1.07,1.01,184-406,52-128,60-84,172-402,44-151,72-100,249,218,28.4,77.3,53.3,20.9,18.5,WashU
18,Total,,170,64.2,1.14,0.97,475-1001,137-323,154-233,411-967,97-316,152-213,596,522,30.6,74.9,53.3,19.0,21.9,WashU
0,at                           New Hampshire,L,-32,63.0,0.75,1.1,17-50,3-19,10-15,30-61,13-28,6-11,26,44,11.4,62.9,37.1,20.599999999999998,15.299999999999999,Brandeis
1,Salem St.,W,19,66.9,1.15,0.92,28-62,10-23,11-13,25-59,4-14,4-10,36,34,41.199999999999996,61.1,51.4,23.9,28.7,Brandeis
2,Rhode Island College,W,28,72.4,1.24,0.82,36-69,11-24,7-10,24-68,2-13,12-19,43,38,29.4,70.19999999999999,53.1,16.6,16.0,Brandeis
3,at                           Emmanuel,W,2,77.5,1.05,0.92,31-66,9-23,10-13,30-75,7-25,12-13,43,38,27.800000000000004,73.3,53.1,24.5,13.900000000000002,Brandeis
4,at                           Lasell,W,19,67.7,1.26,0.96,35-67,10-26,5-8,26-64,5-21,9-17,41,25,43.3,77.8,62.1,19.2,13.100000000000001,Brandeis
5,at                           UMass-Dartmouth,W,11,72.0,1.1,0.82,26-58,13-22,14-16,28-70,4-23,8-14,38,41,24.2,65.2,48.1,25.0,15.7,Brandeis
6,Emerson,W,6,65.9,1.15,1.21,26-62,8-23,16-22,27-56,5-20,11-17,33,37,23.1,77.4,47.099999999999994,9.1,24.099999999999998,Brandeis
7,at                           Colby,L,-14,66.9,0.78,1.07,19-59,4-18,10-13,26-56,7-18,7-8,21,41,8.3,69.19999999999999,33.900000000000006,12.0,27.400000000000002,Brandeis
8,vs.                           Bates,W,10,70.0,0.97,0.87,25-58,9-25,9-18,20-56,6-21,12-14,35,31,30.3,75.8,53.0,24.3,28.599999999999998,Brandeis
9,Babson,L,-12,62.9,1.21,1.16,23-46,11-19,19-24,35-64,7-16,11-13,24,31,8.3,71.0,43.6,17.5,5.3,Brandeis
10,Westfield St.,W,13,64.8,0.93,0.73,24-55,9-27,3-8,16-51,1-17,14-17,40,28,34.4,80.60000000000001,58.8,30.9,27.800000000000004,Brandeis
11,at                           Chris. Newport,L,-6,66.2,1.1,1.29,24-57,3-16,22-25,22-45,5-16,30-40,31,30,25.7,84.6,50.8,15.1,21.3,Brandeis
12,NYU,W,20,59.4,1.36,0.98,30-58,14-28,7-11,24-63,8-27,5-7,37,33,28.999999999999996,71.8,52.900000000000006,13.5,12.8,Brandeis
13,at                           Washington U.,L,-8,62.1,1.05,1.35,24-60,8-23,9-13,27-52,9-19,10-12,29,34,24.3,76.9,46.0,12.9,20.4,Brandeis
14,at                           Chicago,W,1,66.5,0.99,1.09,21-59,8-19,16-21,19-50,6-23,21-25,35,43,16.3,80.0,44.9,12.0,20.200000000000003,Brandeis
15,Rochester,W,11,71.2,1.17,1.16,28-58,6-20,21-23,28-51,4-12,12-17,27,27,32.1,69.19999999999999,50.0,21.099999999999998,33.900000000000006,Brandeis
16,Emory,L,-2,70.7,1.0,1.03,27-70,11-34,6-6,29-69,9-31,6-8,40,43,21.4,75.6,48.199999999999996,14.099999999999998,18.4,Brandeis
17,CWRU,L,-20,58.1,1.22,1.51,26-52,7-21,12-17,36-59,15-22,4-6,18,33,20.7,54.50000000000001,35.3,12.1,18.3,Brandeis
18,Carnegie Mellon,L,-1,65.2,0.98,1.08,24-55,9-20,7-9,23-46,7-13,12-17,23,33,12.5,79.2,41.099999999999994,19.900000000000002,28.299999999999997,Brandeis
19,UAA Total,,63,64.4,1.11,1.12,180-412,63-165,78-100,186-390,58-147,70-92,209,246,21.9,73.2,45.9,15.3,20.9,Brandeis
20,Total,,235,66.5,1.08,1.05,494-1121,163-430,214-285,495-1115,124-379,206-285,620,664,24.3,72.4,48.3,18.4,20.1,Brandeis
0,Denison,W,6,66.4,1.18,1.18,27-64,5-24,19-23,29-64,6-27,8-10,37,40,31.7,66.7,48.1,12.1,23.0,Case Western
1,Oberlin,W,12,69.1,1.13,0.98,29-58,11-31,9-9,21-52,13-33,11-18,35,30,20.7,80.60000000000001,53.800000000000004,23.200000000000003,26.8,Case Western
2,Dickinson,W,11,63.4,1.12,1.35,28-69,4-26,11-16,22-51,7-21,9-12,46,31,39.1,90.3,59.699999999999996,12.6,31.5,Case Western
3,La Roche,W,7,65.4,1.34,1.24,34-66,11-26,9-14,32-69,13-24,4-7,37,37,31.4,66.7,50.0,10.7,13.8,Case Western
4,at                           Capital,W,18,64.9,1.37,1.23,30-67,10-24,19-24,25-62,7-24,14-18,45,32,50.0,66.7,58.4,13.900000000000002,13.900000000000002,Case Western
5,Adrian,W,28,76.3,1.17,0.93,34-74,9-30,12-17,26-68,6-29,3-6,55,32,39.5,86.4,63.2,19.7,21.2,Case Western
6,at                           Kalamazoo,W,35,73.5,1.26,0.93,33-66,16-34,11-15,17-52,8-30,16-21,45,24,39.4,88.9,65.2,23.1,30.3,Case Western
7,at                           Medaille,W,23,70.7,1.33,0.99,31-60,13-32,19-22,28-64,5-18,10-15,40,30,35.5,74.4,57.099999999999994,21.2,22.3,Case Western
8,Earlham,W,30,67.7,1.26,0.73,29-54,11-25,16-17,21-65,3-25,10-11,43,26,32.0,79.5,62.3,25.1,18.5,Case Western
9,Hilbert,W,18,74.7,1.29,1.09,34-77,13-36,15-20,26-71,5-17,21-26,46,48,41.3,56.2,48.9,14.7,23.799999999999997,Case Western
10,Carnegie Mellon,W,5,69.2,1.07,0.99,26-58,5-25,17-23,25-60,7-22,12-19,36,36,20.0,78.4,50.0,15.9,17.299999999999997,Case Western
11,at                           Rochester (N.Y.),L,-16,70.7,0.98,1.29,26-66,5-22,12-15,32-59,6-21,15-20,33,37,25.0,76.7,47.099999999999994,15.6,15.1,Case Western
12,at                           Emory,L,-9,82.6,0.98,1.06,24-70,11-41,22-32,29-73,9-29,23-30,42,49,23.400000000000002,70.5,46.2,15.7,15.4,Case Western
13,Washington (Mo.),W,15,69.8,1.29,0.98,37-63,7-23,9-13,31-71,7-21,6-10,33,39,17.2,65.10000000000001,45.800000000000004,12.9,17.1,Case Western
14,Chicago,L,-8,72.7,1.06,1.44,28-76,8-30,13-22,29-61,8-19,19-24,42,46,32.7,69.39999999999999,47.699999999999996,9.6,23.7,Case Western
15,at                           Brandeis,W,20,60.1,1.51,1.22,36-59,15-22,4-6,26-52,7-21,12-17,33,18,45.5,79.3,64.7,18.3,12.1,Case Western
16,at                           New York U.,W,6,75.9,1.16,1.12,29-61,8-30,22-32,30-66,10-37,12-15,42,32,28.599999999999998,82.1,56.8,18.4,17.7,Case Western
