,Time,Action,Team
293,04:34,"FAHEY,MARY KATE defensive rebound",Opponent
294,04:22,"WALKER,JENNY made jump shot",Opponent
295,04:22,"Assist by BRUNS,NATALIE",Opponent
296,04:09,"GROSS,PAIGE missed 3-pt. jump shot",Emory
297,04:05,"PELLECCHIA,BELLE defensive rebound",Opponent
298,04:00,"Turnover by BRUNS,NATALIE",Opponent
299,04:00,"Steal by BROCK,CLAIRE",Emory
300,04:00,"GROSS,PAIGE
                                 goes to the bench",Emory
301,04:00,"LAUDICK,MORGAN
                                 enters the game",Emory
302,03:51,"ARONSKY,DANIELLA missed 3-pt. jump shot",Emory
303,03:47,"FAHEY,MARY KATE defensive rebound",Opponent
304,03:42,"PELLECCHIA,BELLE missed layup",Opponent
305,03:42,"Block by ARONSKY,DANIELLA",Emory
306,03:37,"MARTINI,KATHERINE defensive rebound",Emory
307,03:32,"Turnover by ARONSKY,DANIELLA",Emory
308,03:32,"Steal by PELLECCHIA,BELLE",Opponent
309,03:27,"PELLECCHIA,BELLE made layup",Opponent
310,03:16,"MARTINI,KATHERINE missed 3-pt. jump shot",Emory
311,03:12,"WALKER,JENNY defensive rebound",Opponent
312,03:02,"BRUNS,NATALIE made layup",Opponent
313,02:46,"KENNEDY,LILY missed layup",Emory
314,02:43,"PEPER,CAROLINE defensive rebound",Opponent
315,02:38,"PEPER,CAROLINE missed layup",Opponent
316,02:34,"KENNEDY,LILY defensive rebound",Emory
317,02:29,"BROCK,CLAIRE made jump shot",Emory
318,02:20,"PELLECCHIA,BELLE missed layup",Opponent
319,02:17,"KENNEDY,LILY defensive rebound",Emory
320,02:17,"Turnover by ARONSKY,DANIELLA",Emory
321,02:17,"Steal by FAHEY,MARY KATE",Opponent
322,02:17,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
323,02:17,"MUNSON,IZZY
                                 enters the game",Emory
324,02:12,"Turnover by WALKER,JENNY",Opponent
325,02:12,"Steal by BROCK,CLAIRE",Emory
326,01:48,"MUNSON,IZZY missed layup",Emory
327,01:46,"BRUNS,NATALIE defensive rebound",Opponent
328,01:41,"FAHEY,MARY KATE missed 3-pt. jump shot",Opponent
329,01:36,"WALKER,JENNY offensive rebound",Opponent
330,01:35,"WALKER,JENNY made layup",Opponent
331,01:29,"Foul by PELLECCHIA,BELLE",Opponent
332,01:29,"KENNEDY,LILY
                                 goes to the bench",Emory
333,01:29,"MARTINI,KATHERINE
                                 goes to the bench",Emory
334,01:29,"ARONSKY,DANIELLA
                                 enters the game",Emory
335,01:29,"MARTIN,ERIN
                                 enters the game",Emory
336,01:29,TEAM TIMEOUT by New York U.,Opponent
337,01:18,"BROCK,CLAIRE missed layup",Emory
338,01:18,"Block by BRUNS,NATALIE",Opponent
339,01:14,"LAUDICK,MORGAN offensive rebound",Emory
340,01:11,"MUNSON,IZZY made layup",Emory
341,00:47,"WALKER,JENNY missed jump shot",Opponent
342,00:45,"MARTIN,ERIN defensive rebound",Emory
343,00:39,"MUNSON,IZZY missed layup",Emory
344,00:37,"WALKER,JENNY defensive rebound",Opponent
345,00:28,"PEPER,CAROLINE missed 3-pt. jump shot",Opponent
346,00:24,"MARTIN,ERIN defensive rebound",Emory
347,00:21,"Turnover by ARONSKY,DANIELLA",Emory
348,00:21,"Steal by PELLECCHIA,BELLE",Opponent
349,00:00,"BRUNS,NATALIE missed jump shot",Opponent
350,00:00,TEAM deadball rebound,Emory
351,10:00,"PEPER,CAROLINE
                                 goes to the bench",Opponent
352,10:00,"FAHEY,MARY KATE
                                 goes to the bench",Opponent
353,10:00,"SHELTON,BROOKLYN
                                 enters the game",Opponent
354,10:00,"MILLER,ERICA
                                 enters the game",Opponent
355,10:00,"MUNSON,IZZY
                                 goes to the bench",Emory
356,10:00,"AUZA,MARIANE
                                 enters the game",Emory
357,09:49,"AUZA,MARIANE made layup",Emory
358,09:28,"BRUNS,NATALIE missed jump shot",Opponent
359,09:26,"AUZA,MARIANE defensive rebound",Emory
360,09:08,"Turnover by AUZA,MARIANE",Emory
361,08:54,"WALKER,JENNY made layup",Opponent
362,08:30,"AUZA,MARIANE missed layup",Emory
363,08:28,"BRUNS,NATALIE defensive rebound",Opponent
364,08:23,"BRUNS,NATALIE made layup",Opponent
365,08:08,"MARTIN,ERIN missed 3-pt. jump shot",Emory
366,08:02,"BRUNS,NATALIE defensive rebound",Opponent
367,07:44,"MILLER,ERICA missed 3-pt. jump shot",Opponent
368,07:42,"PELLECCHIA,BELLE offensive rebound",Opponent
369,07:41,"PELLECCHIA,BELLE made layup",Opponent
370,07:30,"MARTIN,ERIN made jump shot",Emory
371,07:18,"PELLECCHIA,BELLE missed layup",Opponent
372,07:18,"Block by AUZA,MARIANE",Emory
373,07:18,TEAM offensive rebound,Opponent
374,07:18,"SHELTON,BROOKLYN
                                 goes to the bench",Opponent
375,07:18,"PEPER,CAROLINE
                                 enters the game",Opponent
376,07:18,"AUZA,MARIANE
                                 goes to the bench",Emory
377,07:18,"LAUDICK,MORGAN
                                 goes to the bench",Emory
378,07:18,"GROSS,PAIGE
                                 enters the game",Emory
379,07:18,"MUNSON,IZZY
                                 enters the game",Emory
380,07:18,"WALKER,JENNY
                                 goes to the bench",Opponent
381,07:18,"THRAINSDOTTIR,HANNA
                                 enters the game",Opponent
382,07:10,"THRAINSDOTTIR,HANNA missed layup",Opponent
383,07:08,"THRAINSDOTTIR,HANNA offensive rebound",Opponent
384,07:06,"THRAINSDOTTIR,HANNA made layup",Opponent
385,06:58,"BROCK,CLAIRE made jump shot",Emory
386,06:48,"PELLECCHIA,BELLE made layup",Opponent
387,06:48,"Assist by PEPER,CAROLINE",Opponent
388,06:32,"MARTIN,ERIN missed layup",Emory
389,06:32,"Block by BRUNS,NATALIE",Opponent
390,06:32,TEAM offensive rebound,Emory
391,06:29,"MUNSON,IZZY missed layup",Emory
392,06:28,TEAM defensive rebound,Opponent
393,06:28,"GROSS,PAIGE
                                 goes to the bench",Emory
394,06:28,"LAUDICK,MORGAN
                                 enters the game",Emory
395,06:28,"BRUNS,NATALIE
                                 goes to the bench",Opponent
396,06:28,"WALKER,JENNY
                                 enters the game",Opponent
397,06:10,"WALKER,JENNY made jump shot",Opponent
398,06:10,"Assist by THRAINSDOTTIR,HANNA",Opponent
399,06:03,"Turnover by ARONSKY,DANIELLA",Emory
400,06:03,"Steal by MILLER,ERICA",Opponent
401,05:57,"Turnover by PELLECCHIA,BELLE",Opponent
402,05:57,"Steal by ARONSKY,DANIELLA",Emory
403,05:49,"Foul by PEPER,CAROLINE",Opponent
404,05:49,"BROCK,CLAIRE missed free throw",Emory
405,05:49,TEAM deadball rebound,Emory
406,05:49,"BROCK,CLAIRE made free throw",Emory
407,05:49,30SEC TIMEOUT by Emory,Emory
408,05:39,"PEPER,CAROLINE made 3-pt. jump shot",Opponent
409,05:39,"Assist by PELLECCHIA,BELLE",Opponent
410,05:20,"BROCK,CLAIRE missed layup",Emory
411,05:20,"Block by WALKER,JENNY",Opponent
412,05:19,TEAM offensive rebound,Emory
413,05:19,"MUNSON,IZZY
                                 goes to the bench",Emory
414,05:19,"AUZA,MARIANE
                                 enters the game",Emory
415,05:15,"MARTIN,ERIN missed layup",Emory
416,05:13,"MARTIN,ERIN offensive rebound",Emory
417,05:12,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
418,05:12,"Block by PEPER,CAROLINE",Opponent
419,05:08,"WALKER,JENNY defensive rebound",Opponent
420,04:50,"Turnover by MILLER,ERICA",Opponent
421,04:43,"ARONSKY,DANIELLA missed layup",Emory
422,04:39,"THRAINSDOTTIR,HANNA defensive rebound",Opponent
423,04:17,"WALKER,JENNY made layup",Opponent
424,04:05,"LAUDICK,MORGAN made 3-pt. jump shot",Emory
425,04:05,"Assist by MARTIN,ERIN",Emory
426,03:48,"MILLER,ERICA missed 3-pt. jump shot",Opponent
427,03:44,"MARTIN,ERIN defensive rebound",Emory
428,03:34,"LAUDICK,MORGAN made jump shot",Emory
429,03:34,"Assist by MARTIN,ERIN",Emory
430,03:23,"Turnover by PELLECCHIA,BELLE",Opponent
431,03:23,"Steal by AUZA,MARIANE",Emory
432,03:18,"Foul by PELLECCHIA,BELLE",Opponent
433,03:18,TEAM TIMEOUT by New York U.,Opponent
434,03:18,"THRAINSDOTTIR,HANNA
                                 goes to the bench",Opponent
435,03:18,"BRUNS,NATALIE
                                 enters the game",Opponent
436,03:10,"MARTIN,ERIN made 3-pt. jump shot",Emory
437,03:10,"Assist by ARONSKY,DANIELLA",Emory
438,02:45,"BRUNS,NATALIE missed layup",Opponent
439,02:44,"WALKER,JENNY offensive rebound",Opponent
440,02:44,"Foul by MARTIN,ERIN",Emory
441,02:35,"Turnover by BRUNS,NATALIE",Opponent
442,02:35,"Steal by AUZA,MARIANE",Emory
443,02:31,"AUZA,MARIANE made layup",Emory
444,02:20,"PEPER,CAROLINE made 3-pt. jump shot",Opponent
445,02:20,"Assist by PELLECCHIA,BELLE",Opponent
446,02:09,"Turnover by BROCK,CLAIRE",Emory
447,02:09,"Steal by PELLECCHIA,BELLE",Opponent
448,02:04,"PELLECCHIA,BELLE made layup",Opponent
449,01:45,"ARONSKY,DANIELLA missed layup",Emory
450,01:43,"MARTIN,ERIN offensive rebound",Emory
451,01:25,"AUZA,MARIANE made layup",Emory
452,01:25,"Assist by MARTIN,ERIN",Emory
453,01:25,TEAM TIMEOUT by Emory,Emory
454,01:22,"Foul by BROCK,CLAIRE",Emory
455,01:13,"WALKER,JENNY made layup",Opponent
456,01:13,"Assist by MILLER,ERICA",Opponent
457,01:00,"LAUDICK,MORGAN missed 3-pt. jump shot",Emory
458,00:57,"PELLECCHIA,BELLE defensive rebound",Opponent
459,00:57,"Foul by BROCK,CLAIRE",Emory
460,00:57,30SEC TIMEOUT by New York U.,Opponent
461,00:56,"Foul by ARONSKY,DANIELLA",Emory
462,00:55,"Foul by ARONSKY,DANIELLA",Emory
463,00:55,"PEPER,CAROLINE made free throw",Opponent
464,00:55,"PEPER,CAROLINE made free throw",Opponent
465,00:55,"MILLER,ERICA
                                 goes to the bench",Opponent
466,00:55,"THRAINSDOTTIR,HANNA
                                 enters the game",Opponent
467,00:50,"Turnover by LAUDICK,MORGAN",Emory
468,00:50,"Steal by WALKER,JENNY",Opponent
469,00:47,"Foul by LAUDICK,MORGAN",Emory
470,00:47,"PELLECCHIA,BELLE missed free throw",Opponent
471,00:47,TEAM deadball rebound,Opponent
472,00:47,"PELLECCHIA,BELLE missed free throw",Opponent
473,00:46,"MARTIN,ERIN defensive rebound",Emory
474,00:41,"PEPER,CAROLINE
                                 goes to the bench",Opponent
