,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
61,"Ashley Gao, Ellie Gross, Grace Hynes, Mallory Brodnik, Peyton Van Soest",2,2.92,4,0,4,0,1,0,1,0.5,4,0.0,1,0.0,1,0.0,1,0,0.0,2,1,0,0,1,2
62,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Mallory Brodnik, Peyton Van Soest",2,2.9,5,6,-1,0,0,0,2,0.75,4,0.5,6,0.0,0,0.5,2,1,1.0,2,1,1,0,3,2
63,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Marissa Powe, Sophia North",2,2.87,6,3,3,1,0,1,3,0.8,5,0.2,5,0.0,0,0.33,3,2,1.0,1,1,1,0,1,1
64,"Ashley Gao, Grace Hynes, Kati Heller, Peyton Van Soest, Sophia North",1,2.8,2,4,-2,1,0,1,2,0.5,2,0.4,5,0.0,1,0.0,1,0,0.0,2,0,0,0,1,2
65,"Grace Hynes, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",1,2.78,7,2,5,3,1,0,4,0.57,7,0.2,5,0.0,0,0.0,1,2,0.5,0,0,0,0,0,2
66,"Elizabeth Shaw, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik",1,2.75,0,7,-7,0,0,1,1,0.0,3,0.6,5,0.0,1,0.5,2,0,0.0,1,1,0,0,1,0
67,"Bella Alfaro, Blair Penn, Ellie Vermilion, Isabelle Herrera, Kati Heller",1,2.7,8,3,5,2,1,0,0,0.8,5,1.0,1,0.67,3,1.0,1,2,1.0,2,4,2,0,2,1
68,"Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,2.68,2,6,-4,0,3,0,1,0.17,6,0.8,5,0.0,0,0.0,0,0,0.0,1,1,0,0,2,1
69,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Kati Heller, Marissa Powe",2,2.62,2,6,-4,0,1,0,1,0.17,6,0.8,5,0.0,2,0.0,1,0,0.0,0,1,1,0,1,1
70,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Marissa Powe, Peyton Van Soest",2,2.57,3,0,3,0,0,0,1,0.4,5,0.0,1,0.0,2,0.0,1,1,1.0,0,2,0,0,2,1
71,"Bella Alfaro, Ellie Vermilion, Isabelle Herrera, Kati Heller, Mallory Brodnik",1,2.45,3,5,-2,1,0,1,1,0.33,3,0.6,5,0.33,3,1.0,1,0,0.0,1,1,1,0,2,0
72,"Bella Alfaro, Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe",2,2.45,4,4,0,1,0,1,2,0.67,3,0.4,5,0.0,0,0.0,0,0,0.0,3,0,0,0,0,2
73,"Ashley Gao, Bella Alfaro, Grace Hynes, Klaire Steffens, Sophia North",1,2.43,2,8,-6,1,2,0,1,0.17,6,0.75,4,0.0,1,1.0,2,0,0.0,0,1,1,1,0,0
74,"Bella Alfaro, Kati Heller, Klaire Steffens, Marissa Powe, Peyton Van Soest",4,2.4,3,4,-1,0,0,0,1,0.67,3,0.67,3,0.0,0,0.0,0,2,0.5,3,2,1,0,2,1
75,"Alina Brennan, Ashley Gao, Bella Alfaro, Ellie Vermilion, Sophia North",1,2.37,4,3,1,2,0,0,2,1.0,2,0.4,5,0.0,0,0.0,0,0,0.0,2,0,0,0,1,1
76,"Ashley Gao, Ellie Gross, Grace Hynes, Mallory Brodnik, Sophia North",1,2.35,0,5,-5,0,1,1,2,0.0,4,0.4,5,0.0,2,0.25,4,0,0.0,1,0,0,0,0,1
77,"Ashley Gao, Ellie Gross, Grace Hynes, Kati Heller, Sophia North",1,2.23,5,3,2,1,2,2,1,0.4,5,0.33,6,0.33,3,0.0,0,0,0.0,1,0,0,1,1,0
78,"Ellie Gross, Isabelle Herrera, Klaire Steffens, Mallory Brodnik, Ryan Shepherd",1,2.13,4,2,2,0,2,0,2,0.4,5,0.33,3,0.0,1,0.0,1,0,0.0,2,1,1,0,0,0
79,"Bella Alfaro, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",2,2.0,2,0,2,1,1,0,3,0.2,5,0.0,3,0.0,0,0.0,2,2,0.0,1,0,0,0,0,1
80,"Blair Penn, Ellie Gross, Isabelle Herrera, Klaire Steffens, Marissa Powe",1,1.92,2,4,-2,0,2,1,1,0.2,5,0.57,7,0.0,3,0.0,0,0,0.0,1,1,1,0,3,0
81,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Sophia North",2,1.88,3,6,-3,0,1,0,1,0.29,7,0.8,5,0.0,3,0.0,0,2,0.5,0,0,0,0,1,1
82,"Elizabeth Shaw, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",1,1.82,6,2,4,2,1,1,1,0.6,5,0.5,4,0.5,2,0.0,0,1,1.0,0,1,1,0,1,1
83,"Ashley Gao, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",1,1.78,2,6,-4,0,0,1,1,1.0,1,0.5,4,0.0,0,1.0,2,0,0.0,1,0,0,0,1,0
