,Lineup,GP,MP,POSS,OPP POSS,PPP,OPP PPP,PTS DIFF PER80,REB,OPP REB,ORB%,DRB%,RB%,TO%
81,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Sophia North",2,1.88,6.6048,5.6448,0.45421511627906974,1.0629251700680271,-48.69680430311659,2,3,0.25,1.0,0.4,0.0
82,"Elizabeth Shaw, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",1,1.82,4.2624,4.6848,1.4076576576576576,0.42691256830601093,78.45960714813174,2,2,0.5,0.5,0.5,0.0
83,"Ashley Gao, Grace Hynes, Klaire Steffens, Mallory Brodnik, Sophia North",1,1.78,1.92,2.88,1.0416666666666667,2.0833333333333335,-83.33333333333334,1,1,,0.5,0.5,0.5
84,"Alina Brennan, Ashley Gao, Bella Alfaro, Isabelle Herrera, Ryan Shepherd",1,1.68,2.88,2.88,2.0833333333333335,0.0,166.66666666666669,1,0,,1.0,1.0,0.0
85,"Alina Brennan, Ashley Gao, Bella Alfaro, Ellie Vermilion, Ryan Shepherd",1,1.67,0.96,1.92,0.0,0.0,0.0,2,0,1.0,1.0,1.0,0.5
86,"Bella Alfaro, Ellie Vermilion, Kati Heller, Marissa Powe, Sophia North",1,1.6,2.88,5.6448,1.0416666666666667,0.3543083900226757,54.98866213151928,1,2,0.0,1.0,0.3333333333333333,0.3333333333333333
87,"Ellie Gross, Grace Hynes, Kati Heller, Klaire Steffens, Mallory Brodnik",2,1.6,2.88,2.88,1.3888888888888888,0.0,111.11111111111111,3,0,1.0,1.0,1.0,0.25
88,"Elizabeth Shaw, Kati Heller, Klaire Steffens, Marissa Powe, Sophia North",1,1.57,1.92,2.88,2.0833333333333335,1.3888888888888888,55.55555555555557,2,0,1.0,,1.0,0.0
89,"Alina Brennan, Blair Penn, Ellie Vermilion, Isabelle Herrera, Kati Heller",1,1.55,1.92,1.92,0.0,1.5625,-125.0,2,1,0.5,1.0,0.6666666666666666,0.3333333333333333
90,"Ashley Gao, Elizabeth Shaw, Grace Hynes, Mallory Brodnik, Marissa Powe",1,1.5,4.6848,4.6848,0.0,0.8538251366120219,-68.30601092896175,2,3,0.3333333333333333,0.5,0.4,0.0
91,"Ashley Gao, Grace Hynes, Mallory Brodnik, Marissa Powe, Sophia North",1,1.5,2.88,2.88,0.6944444444444444,0.6944444444444444,0.0,1,1,0.0,1.0,0.5,0.3333333333333333
92,"Bella Alfaro, Mallory Brodnik, Marissa Powe, Ryan Shepherd, Sophia North",1,1.48,6.0672,2.88,0.4944620253164557,0.0,39.55696202531646,3,3,0.0,1.0,0.5,0.0
93,"Ashley Gao, Elizabeth Shaw, Klaire Steffens, Peyton Van Soest, Sophia North",1,1.4,3.7247999999999997,1.92,0.8054123711340206,1.0416666666666667,-18.900343642611688,1,1,0.5,,0.5,0.0
94,"Ellie Gross, Grace Hynes, Kati Heller, Mallory Brodnik, Marissa Powe",2,1.4,3.7247999999999997,1.92,1.0738831615120277,0.0,85.9106529209622,1,1,,0.5,0.5,0.0
95,"Ashley Gao, Grace Hynes, Klaire Steffens, Marissa Powe, Sophia North",1,1.37,1.92,2.88,1.0416666666666667,0.6944444444444444,27.777777777777786,2,1,0.0,1.0,0.6666666666666666,0.0
96,"Grace Hynes, Kati Heller, Klaire Steffens, Mallory Brodnik, Marissa Powe",1,1.3,1.92,2.88,1.0416666666666667,0.0,83.33333333333334,2,1,0.5,1.0,0.6666666666666666,0.0
97,"Ellie Gross, Kati Heller, Mallory Brodnik, Marissa Powe, Sophia North",1,1.3,1.92,3.3024,1.0416666666666667,1.5140503875968991,-37.790697674418595,1,1,0.5,,0.5,0.0
98,"Bella Alfaro, Ellie Vermilion, Kati Heller, Marissa Powe, Ryan Shepherd",1,1.27,1.92,1.92,0.0,1.0416666666666667,-83.33333333333334,1,3,0.0,0.3333333333333333,0.25,0.5
