,Time,Action,Team
222,00:50,"GERY,LILAH
                                 goes to the bench",Emory
223,00:49,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
224,00:42,"Turnover by OHM,LULU",Opponent
225,00:41,"Steal by KREUSSER,CHLOE",Emory
226,00:39,"KREUSSER,CHLOE missed layup",Emory
227,00:39,"OBAR,MOLLIE defensive rebound",Opponent
228,00:35,"REAVIS,EMMA missed layup",Opponent
229,00:35,"Block by LOWNDES,CHARLOTTE",Emory
230,00:35,"REAVIS,EMMA offensive rebound",Opponent
231,00:35,"MARTIN,ERIN
                                 enters the game",Emory
232,00:35,"LAUDICK,MORGAN
                                 goes to the bench",Emory
233,00:27,"Foul by LOWNDES,CHARLOTTE",Emory
234,00:12,"REAVIS,EMMA missed jump shot",Opponent
235,00:12,"KREUSSER,CHLOE defensive rebound",Emory
236,00:10,"CELLER,CHLOE
                                 enters the game",Opponent
237,00:10,"REAVIS,EMMA
                                 goes to the bench",Opponent
238,00:03,"MARTIN,ERIN missed 3-pt. jump shot",Emory
239,00:03,TEAM defensive rebound,Opponent
240,09:48,"GRESKO,CAITLIN missed 3-pt. jump shot",Opponent
241,09:48,"AUZA,MARIANE defensive rebound",Emory
242,09:40,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
243,09:40,TEAM defensive rebound,Opponent
244,09:23,"MARCHESE,FRANCESCA missed 3-pt. jump shot",Opponent
245,09:23,"MARTIN,ERIN defensive rebound",Emory
246,09:15,"LAUDICK,MORGAN made layup",Emory
247,09:15,"Assist by ARONSKY,DANIELLA",Emory
248,09:13,30SEC TIMEOUT by Brandeis,Opponent
249,08:51,"SMALLY,SHANNON missed layup",Opponent
250,08:51,"PIERRE,TATHIANA offensive rebound",Opponent
251,08:36,"Turnover by REAVIS,EMMA",Opponent
252,08:35,"Steal by ARONSKY,DANIELLA",Emory
253,08:35,"Foul by PIERRE,TATHIANA",Opponent
254,08:35,"OHM,LULU
                                 enters the game",Opponent
255,08:35,"REAVIS,EMMA
                                 goes to the bench",Opponent
256,08:33,"Foul by GRESKO,CAITLIN",Opponent
257,08:33,"AUZA,MARIANE missed free throw",Emory
258,08:33,TEAM deadball rebound,Emory
259,08:33,"AUZA,MARIANE missed free throw",Emory
260,08:33,"SMALLY,SHANNON defensive rebound",Opponent
261,08:32,"PIERRE,TATHIANA made layup",Opponent
262,08:29,"Foul by BROCK,CLAIRE",Emory
263,08:29,"PIERRE,TATHIANA missed free throw",Opponent
264,08:29,"MARTIN,ERIN defensive rebound",Emory
265,08:29,"ARONSKY,DANIELLA missed layup",Emory
266,08:29,"GRESKO,CAITLIN defensive rebound",Opponent
267,08:22,"GRESKO,CAITLIN made layup",Opponent
268,08:22,"Assist by PIERRE,TATHIANA",Opponent
269,07:40,"MARCHESE,FRANCESCA made 3-pt. jump shot",Opponent
270,07:40,"Assist by PIERRE,TATHIANA",Opponent
271,07:40,"Turnover by AUZA,MARIANE",Emory
272,07:40,"ARONSKY,DANIELLA made layup",Emory
273,06:56,"PIERRE,TATHIANA missed layup",Opponent
274,06:56,TEAM offensive rebound,Opponent
275,06:52,Turnover by TEAM,Opponent
276,06:52,"MUNSON,IZZY
                                 enters the game",Emory
277,06:52,"BROCK,CLAIRE
                                 goes to the bench",Emory
278,06:36,"MUNSON,IZZY made layup",Emory
279,06:36,"Assist by ARONSKY,DANIELLA",Emory
280,06:30,"Foul by OHM,LULU",Opponent
281,06:30,"MUNSON,IZZY missed free throw",Emory
282,06:30,"SMALLY,SHANNON defensive rebound",Opponent
283,06:30,"OBAR,MOLLIE
                                 enters the game",Opponent
284,06:30,"GRESKO,CAITLIN
                                 goes to the bench",Opponent
