,X,Y,Region
64,0.0,12.8,Out of Bounds
65,0.0,13.0,Out of Bounds
66,0.0,13.200000000000001,Out of Bounds
67,0.0,13.4,Out of Bounds
68,0.0,13.600000000000001,Out of Bounds
69,0.0,13.8,Out of Bounds
70,0.0,14.0,Out of Bounds
71,0.0,14.200000000000001,Out of Bounds
72,0.0,14.4,Out of Bounds
73,0.0,14.600000000000001,Out of Bounds
74,0.0,14.8,Out of Bounds
75,0.0,15.0,Out of Bounds
76,0.0,15.200000000000001,Out of Bounds
77,0.0,15.4,Out of Bounds
78,0.0,15.600000000000001,Out of Bounds
79,0.0,15.8,Out of Bounds
80,0.0,16.0,Out of Bounds
81,0.0,16.2,Out of Bounds
82,0.0,16.400000000000002,Out of Bounds
83,0.0,16.6,Out of Bounds
84,0.0,16.8,Out of Bounds
85,0.0,17.0,Out of Bounds
86,0.0,17.2,Out of Bounds
87,0.0,17.400000000000002,Out of Bounds
88,0.0,17.6,Out of Bounds
89,0.0,17.8,Out of Bounds
90,0.0,18.0,Out of Bounds
91,0.0,18.2,Out of Bounds
92,0.0,18.400000000000002,Out of Bounds
93,0.0,18.6,Out of Bounds
94,0.0,18.8,Out of Bounds
95,0.0,19.0,Out of Bounds
96,0.0,19.200000000000003,Out of Bounds
97,0.0,19.400000000000002,Out of Bounds
98,0.0,19.6,Out of Bounds
99,0.0,19.8,Out of Bounds
100,0.0,20.0,Out of Bounds
101,0.0,20.200000000000003,Out of Bounds
102,0.0,20.400000000000002,Out of Bounds
103,0.0,20.6,Out of Bounds
104,0.0,20.8,Out of Bounds
105,0.0,21.0,Out of Bounds
106,0.0,21.200000000000003,Out of Bounds
107,0.0,21.400000000000002,Out of Bounds
108,0.0,21.6,Out of Bounds
109,0.0,21.8,Out of Bounds
110,0.0,22.0,Out of Bounds
111,0.0,22.200000000000003,Out of Bounds
112,0.0,22.400000000000002,Out of Bounds
113,0.0,22.6,Out of Bounds
114,0.0,22.8,Out of Bounds
115,0.0,23.0,Out of Bounds
116,0.0,23.200000000000003,Out of Bounds
117,0.0,23.400000000000002,Out of Bounds
118,0.0,23.6,Out of Bounds
119,0.0,23.8,Out of Bounds
120,0.0,24.0,Out of Bounds
121,0.0,24.200000000000003,Out of Bounds
122,0.0,24.400000000000002,Out of Bounds
123,0.0,24.6,Out of Bounds
124,0.0,24.8,Out of Bounds
125,0.0,25.0,Out of Bounds
126,0.0,25.200000000000003,Out of Bounds
127,0.0,25.400000000000002,Out of Bounds
128,0.0,25.6,Out of Bounds
129,0.0,25.8,Out of Bounds
130,0.0,26.0,Out of Bounds
131,0.0,26.200000000000003,Out of Bounds
132,0.0,26.400000000000002,Out of Bounds
133,0.0,26.6,Out of Bounds
134,0.0,26.8,Out of Bounds
135,0.0,27.0,Out of Bounds
136,0.0,27.200000000000003,Out of Bounds
137,0.0,27.400000000000002,Out of Bounds
138,0.0,27.6,Out of Bounds
139,0.0,27.8,Out of Bounds
140,0.0,28.0,Out of Bounds
141,0.0,28.200000000000003,Out of Bounds
142,0.0,28.400000000000002,Out of Bounds
143,0.0,28.6,Out of Bounds
144,0.0,28.8,Out of Bounds
145,0.0,29.0,Out of Bounds
146,0.0,29.200000000000003,Out of Bounds
147,0.0,29.400000000000002,Out of Bounds
148,0.0,29.6,Out of Bounds
149,0.0,29.8,Out of Bounds
150,0.0,30.0,Out of Bounds
151,0.0,30.200000000000003,Out of Bounds
152,0.0,30.400000000000002,Out of Bounds
153,0.0,30.6,Out of Bounds
154,0.0,30.8,Out of Bounds
155,0.0,31.0,Out of Bounds
156,0.0,31.200000000000003,Out of Bounds
157,0.0,31.400000000000002,Out of Bounds
158,0.0,31.6,Out of Bounds
159,0.0,31.8,Out of Bounds
160,0.0,32.0,Out of Bounds
161,0.0,32.2,Out of Bounds
162,0.0,32.4,Out of Bounds
163,0.0,32.6,Out of Bounds
164,0.0,32.800000000000004,Out of Bounds
165,0.0,33.0,Out of Bounds
166,0.0,33.2,Out of Bounds
167,0.0,33.4,Out of Bounds
168,0.0,33.6,Out of Bounds
169,0.0,33.800000000000004,Out of Bounds
170,0.0,34.0,Out of Bounds
171,0.0,34.2,Out of Bounds
172,0.0,34.4,Out of Bounds
173,0.0,34.6,Out of Bounds
174,0.0,34.800000000000004,Out of Bounds
175,0.0,35.0,Out of Bounds
